sample	population	time	depth
PI028	WSkane2020	modern	high
PI029	WSkane2020	modern	high
PI030	WSkane2020	modern	high
PI031	WSkane2020	modern	high
PI032	WSkane2020	modern	high
PI033	WSkane2020	modern	high
PI034	WSkane2020	modern	high
PI035	WSkane2020	modern	high
PI036	WSkane2020	modern	high
PI413	Oland2020	modern	high
PI414	Oland2020	modern	high
PI415	Oland2020	modern	high
PI417	Oland2020	modern	high
PI418	Oland2020	modern	high
PI419	Oland2020	modern	high
PI420	Oland2020	modern	high
PI421	Oland2020	modern	high
PI422	Oland2020	modern	high
PI200	ESkane2020	modern	high
PI201	ESkane2020	modern	high
PI202	ESkane2020	modern	high
PI203	ESkane2020	modern	high
PI204	ESkane2020	modern	high
PI205	ESkane2020	modern	high
PI206	ESkane2020	modern	high
PI207	ESkane2020	modern	high
PI208	ESkane2020	modern	high
